id_pedido,id_cliente,fecha_pedido,monto,estado
PED7132,CL1114,2024-12-20,832.07,Preparacion
PED7133,CL1102,2024-09-23,1306.99,Pendiente
PED7134,CL1124,2024-11-29,483.0,Preparacion
PED7135,CL1076,2025-02-09,24.51,Enviado
PED7136,CL1049,2024-09-21,2251.4,Cancelado
PED7137,CL1083,2024-07-21,1778.46,Preparacion
PED7138,CL1007,2024-05-05,1329.11,Pendiente
PED7139,CL1131,2024-07-07,149.44,Preparacion
PED7140,CL1069,2025-03-11,1060.79,Cancelado
PED7141,CL1023,2024-06-20,959.4,Enviado
PED7142,CL1123,2025-04-13,441.29,Preparacion
PED7143,CL1023,2024-08-26,403.13,Entregado
PED7144,CL1019,2025-03-16,445.35,Cancelado
PED7146,CL1097,2024-04-17,324.89,Cancelado
PED7148,CL1046,2024-08-11,2366.49,Cancelado
PED7149,CL1004,2024-09-05,560.36,Cancelado
PED7150,CL1105,2024-01-20,1913.18,Pendiente
PED7151,CL1094,2024-02-07,1501.13,Pendiente
PED7152,CL1118,2025-02-04,1041.69,Pendiente
PED7153,CL1098,2025-01-28,1494.29,Cancelado
PED7154,CL1115,2024-01-29,347.05,Enviado
PED7155,CL1019,2025-03-04,1218.21,Entregado
PED7157,CL1101,2024-02-21,1077.89,Cancelado
PED7158,CL9999,2025-04-05,618.56,Pendiente
PED7159,CL1000,2024-08-30,2319.85,Entregado
PED7160,CL1139,2024-07-19,1532.77,Pendiente
PED7162,CL1122,2024-09-24,1365.36,Pendiente
PED7163,CL1099,2025-03-05,42.84,Enviado
PED7166,CL1083,2025-01-02,1794.73,Preparacion
PED7167,CL1002,2025-01-11,2024.76,Preparacion
PED7168,CL1046,2024-01-06,2131.19,Preparacion
PED7169,CL1065,2025-04-14,2498.02,Entregado
PED7170,CL1036,2024-10-08,732.2,Pendiente
PED7171,CL1130,2025-01-06,1131.72,Pendiente
PED7172,CL1060,2024-12-05,1363.92,Cancelado
PED7173,CL1124,2024-04-14,393.85,Enviado
PED7174,CL1139,2025-05-07,1210.23,Enviado
PED7176,CL1011,2025-01-07,2094.78,Preparacion
PED7177,CL1121,2025-04-08,877.45,Enviado
PED7178,CL1011,2024-03-19,217.99,Pendiente
PED7179,CL1111,2024-03-07,40.06,Entregado
PED7180,CL1049,2025-05-03,2153.45,Enviado
PED7181,CL1136,2024-12-23,2149.23,Pendiente
PED7182,CL1016,2025-03-14,2336.21,Preparacion
PED7183,CL9999,2025-03-26,195.28,Entregado
PED7184,CL1036,2024-10-17,995.98,Preparacion
PED7185,CL1074,2024-03-24,1079.06,Pendiente
PED7186,CL1095,2024-11-14,2154.3,Preparacion
PED7187,CL1137,2025-03-21,664.63,Cancelado
PED7188,CL1076,2024-10-23,765.98,Pendiente
PED7189,CL1129,2024-11-24,1835.83,Preparacion
PED7190,CL1022,2024-12-22,462.43,Cancelado
PED7193,CL1130,2024-05-12,463.43,Preparacion
PED7194,CL1078,2024-02-02,566.53,Cancelado
PED7195,CL1062,2025-04-22,1754.03,Pendiente
PED7196,CL1073,2025-04-25,1989.34,Pendiente
PED7197,CL1046,2025-03-18,2384.09,Preparacion
PED7198,CL1015,2024-08-16,781.99,Entregado
PED7201,CL1049,2024-02-16,1100.68,Cancelado
PED7202,CL1029,2024-05-20,663.88,Entregado
PED7203,CL1038,2025-03-11,881.77,Entregado
PED7204,CL1125,2024-09-13,2011.36,Enviado
PED7205,CL1062,2024-02-09,2011.03,Enviado
PED7206,CL1112,2024-05-14,1765.7,Entregado
PED7207,CL1089,2024-07-29,322.24,Pendiente
PED7208,CL1082,2024-12-06,720.8,Cancelado
PED7209,CL1013,2025-01-08,2349.15,Preparacion
PED7210,CL1115,2025-02-14,1139.53,Entregado
PED7211,CL1039,2024-12-07,1560.28,Enviado
PED7212,CL1057,2024-08-25,60.5,Enviado
PED7213,CL1030,2024-06-22,1302.28,Enviado
PED7215,CL1096,2024-03-05,161.32,Enviado
PED7216,CL1072,2024-08-25,301.48,Pendiente
PED7217,CL1065,2024-12-08,930.4,Pendiente
PED7218,CL1123,2024-03-11,2361.98,Cancelado
PED7220,CL1068,2024-11-14,68.68,Pendiente
PED7221,CL1097,2025-04-12,2026.06,Entregado
PED7223,CL1118,2025-04-17,1348.69,Cancelado
PED7224,CL1100,2024-10-31,2234.22,Entregado
PED7225,CL1118,2024-11-11,459.9,Cancelado
PED7227,CL1001,2024-09-30,65.82,Preparacion
PED7228,CL1119,2025-01-14,1464.83,Pendiente
PED7229,CL1058,2024-10-14,2220.16,Preparacion
